date,killed,injured,victims,state,city,incident,geolocation,congressional_district,rifle_type,handgun_general,handgun_specific,handgun_type
2015-12-11,1,3,4,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/463642,"39.3483, -76.6751",7,NA,NA,NA,NA
2015-12-11,0,4,4,Pennsylvania,Pittsburgh (Mount Oliver),http://www.gunviolencearchive.org/incident/463734,"40.4159, -79.9875",14,NA,NA,NA,NA
2015-12-08,1,3,4,Ohio,Cincinnati (Fairmount),http://www.gunviolencearchive.org/incident/461476,"39.1497, -84.5615",1,NA,NA,NA,NA
2015-12-06,1,3,4,Louisiana,Raceland,http://www.gunviolencearchive.org/incident/460049,"29.7193, -90.6093",6,NA,NA,NA,NA
2015-12-06,2,3,5,Nebraska,Omaha,http://www.gunviolencearchive.org/incident/460386,"41.3138, -96.0814",2,NA,NA,NA,NA
2015-12-02,16,19,35,California,San Bernardino,http://www.gunviolencearchive.org/incident/456893,"34.0758, -117.277",31,AR-15,NA,9mm,9mm
2015-12-02,1,3,4,Georgia,Savannah,http://www.gunviolencearchive.org/incident/457037,"32.0607, -81.1",1,NA,NA,NA,NA
2015-11-29,0,5,5,Illinois,Kankakee,http://www.gunviolencearchive.org/incident/455394,"41.1193, -87.8576",2,NA,NA,NA,NA
2015-11-27,3,9,12,Colorado,Colorado Springs,http://www.gunviolencearchive.org/incident/454059,"38.8767, -104.847",5,AK-47,NA,NA,NA
2015-11-27,2,2,4,California,Sacramento,http://www.gunviolencearchive.org/incident/455684,"38.495, -121.41",7,NA,NA,NA,NA
2015-11-24,0,4,4,South Carolina,Horry (county),http://www.gunviolencearchive.org/incident/454788,"33.8706, -79.1407",7,NA,NA,NA,NA
2015-11-23,4,1,5,Ohio,Columbus,http://www.gunviolencearchive.org/incident/452007,"39.9533, -83.0662",3,NA,NA,NA,NA
2015-11-23,0,5,5,Minnesota,Minneapolis,http://www.gunviolencearchive.org/incident/452120,"44.9861, -93.3045",5,NA,NA,NA,NA
2015-11-22,0,4,4,Texas,Brownsville,http://www.gunviolencearchive.org/incident/453317,"25.9248, -97.4317",34,NA,NA,NA,NA
2015-11-22,0,4,4,Washington,Seattle,http://www.gunviolencearchive.org/incident/451338,"47.6141, -122.321",7,NA,NA,NA,NA
2015-11-22,0,5,5,New York,Newburgh,http://www.gunviolencearchive.org/incident/451305,"41.5004, -74.0187",18,NA,NA,NA,NA
2015-11-22,1,3,4,South Carolina,North Charleston,http://www.gunviolencearchive.org/incident/452362,"32.8805, -79.9861",6,NA,Handgun,NA,NA
2015-11-22,0,4,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/451349,"41.8666, -87.6902",7,NA,NA,NA,NA
2015-11-22,0,17,17,Louisiana,New Orleans,http://www.gunviolencearchive.org/incident/451495,"29.9748, -90.0372",2,NA,NA,NA,NA
2015-11-21,1,3,4,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/451057,"39.3058, -76.6419",7,NA,NA,NA,NA
2015-11-20,1,3,4,Pennsylvania,Pittsburgh,http://www.gunviolencearchive.org/incident/450505,"40.4314, -79.9356",14,NA,NA,NA,NA
2015-11-18,0,5,5,California,Fresno,http://www.gunviolencearchive.org/incident/449814,"36.7214, -119.8",16,NA,NA,NA,NA
2015-11-16,3,1,4,Alabama,Cherokee (county),http://www.gunviolencearchive.org/incident/448653,"34.2313, -85.6933",3,NA,NA,NA,NA
2015-11-15,0,4,4,Pennsylvania,Philadelphia,http://www.gunviolencearchive.org/incident/448286,"40.0483, -75.1602",2,NA,NA,NA,NA
2015-11-15,5,0,5,Texas,Tennessee Colony,http://www.gunviolencearchive.org/incident/448419,NA,NA,NA,NA,NA,NA
2015-11-14,0,4,4,Pennsylvania,Johnstown,http://www.gunviolencearchive.org/incident/447462,"40.3432, -78.8837",12,NA,NA,NA,NA
2015-11-13,4,1,5,Florida,Jacksonville,http://www.gunviolencearchive.org/incident/446996,"30.4653, -81.6075",4,NA,NA,NA,NA
2015-11-09,2,2,4,Indiana,Indianapolis,http://www.gunviolencearchive.org/incident/444458,"39.7729, -86.123",7,NA,NA,NA,NA
2015-11-08,1,3,4,Iowa,Des Moines,http://www.gunviolencearchive.org/incident/443821,"41.6398, -93.625",3,NA,NA,NA,NA
2015-11-08,0,4,4,Michigan,Warren,http://www.gunviolencearchive.org/incident/444168,"42.4494, -82.9825",9,NA,NA,NA,NA
2015-11-07,1,3,4,Colorado,Denver,http://www.gunviolencearchive.org/incident/443652,"39.7148, -104.99",1,NA,NA,NA,NA
2015-11-06,0,4,4,California,Bakersfield,http://www.gunviolencearchive.org/incident/444406,"35.3506, -118.99",21,NA,NA,NA,NA
2015-11-03,2,3,5,Florida,Jacksonville,http://www.gunviolencearchive.org/incident/441681,"30.3475, -81.6927",5,NA,NA,NA,NA
2015-11-02,4,0,4,South Carolina,Pendleton,http://www.gunviolencearchive.org/incident/440743,"34.6474, -82.748",3,NA,NA,NA,NA
2015-10-28,1,3,4,Louisiana,Houma,http://www.gunviolencearchive.org/incident/438651,"29.595, -90.7305",1,NA,NA,NA,NA
2015-10-27,0,5,5,Texas,Fort Worth,http://www.gunviolencearchive.org/incident/437836,"32.6706, -97.3452",33,NA,NA,NA,NA
2015-10-26,0,5,5,Indiana,Evansville,http://www.gunviolencearchive.org/incident/437323,"37.9819, -87.5537",8,NA,NA,NA,NA
2015-10-25,0,5,5,North Carolina,Four Oaks,http://www.gunviolencearchive.org/incident/436202,"35.3651, -78.3554",7,NA,NA,NA,NA
2015-10-25,1,4,5,Arizona,Phoenix,http://www.gunviolencearchive.org/incident/436234,"33.4067, -112.065",7,NA,NA,NA,NA
2015-10-25,0,5,5,District of Columbia,Washington,http://www.gunviolencearchive.org/incident/436240,"38.8327, -76.988",1,NA,NA,NA,NA
2015-10-24,0,4,4,South Carolina,Bamberg,http://www.gunviolencearchive.org/incident/436219,"33.3011, -81.0339",6,NA,NA,NA,NA
2015-10-22,1,3,4,Tennessee,Nashville,http://www.gunviolencearchive.org/incident/435144,"36.167, -86.8286",5,NA,Handgun,NA,NA
2015-10-19,0,6,6,Illinois,Calumet City,http://www.gunviolencearchive.org/incident/433146,"41.6294, -87.5509",2,NA,NA,NA,NA
2015-10-18,0,4,4,Louisiana,New Orleans,http://www.gunviolencearchive.org/incident/432711,"29.9772, -90.0112",2,NA,NA,NA,NA
2015-10-17,0,4,4,Indiana,Elkhart,http://www.gunviolencearchive.org/incident/432072,"41.6901, -85.9667",2,NA,NA,NA,NA
2015-10-17,1,4,5,Florida,Fort Myers,http://www.gunviolencearchive.org/incident/432466,"26.6439, -81.8705",19,NA,NA,NA,NA
2015-10-12,0,4,4,Georgia,Decatur,http://www.gunviolencearchive.org/incident/429410,"33.7369, -84.2243",4,NA,NA,NA,NA
2015-10-10,0,6,6,Tennessee,Memphis,http://www.gunviolencearchive.org/incident/428215,"35.0697, -89.8568",9,NA,NA,NA,NA
2015-10-10,0,4,4,North Carolina,Charlotte,http://www.gunviolencearchive.org/incident/428247,"35.2143, -80.8897",12,NA,NA,NA,NA
2015-10-10,1,3,4,Illinois,Peoria,http://www.gunviolencearchive.org/incident/429614,"40.7171, -89.6011",17,NA,NA,NA,NA
2015-10-09,1,3,4,Arizona,Flagstaff,http://www.gunviolencearchive.org/incident/427621,"35.1893, -111.649",1,NA,Handgun,NA,NA
2015-10-06,0,5,5,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/426256,"39.2919, -76.6489",7,NA,NA,NA,NA
2015-10-02,1,4,5,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/424224,"39.3463, -76.6884",7,NA,NA,NA,NA
2015-10-01,10,9,19,Oregon,Roseburg,http://www.gunviolencearchive.org/incident/423223,"43.2628, -123.28",4,AR-15,Handgun,NA,NA
2015-09-28,0,5,5,Ohio,Cincinnati (Evanston),http://www.gunviolencearchive.org/incident/421650,"39.1374, -84.472",1,NA,NA,NA,NA
2015-09-28,3,2,5,Illinois,Chicago,http://www.gunviolencearchive.org/incident/422064,"41.8184, -87.6338",7,NA,NA,NA,NA
2015-09-28,2,3,5,Illinois,Chicago,http://www.gunviolencearchive.org/incident/422035,"41.7977, -87.6529",7,NA,NA,NA,NA
2015-09-28,0,4,4,Ohio,Dayton,http://www.gunviolencearchive.org/incident/422020,"39.7583, -84.2354",10,NA,NA,NA,NA
2015-09-27,0,10,10,Georgia,Greenville,http://www.gunviolencearchive.org/incident/421014,"33.0312, -84.7298",3,NA,Handgun,NA,NA
2015-09-27,0,4,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/421358,"41.7994, -87.6638",7,NA,NA,NA,NA
2015-09-27,0,4,4,Missouri,Kansas City,http://www.gunviolencearchive.org/incident/420855,"39.0913, -94.562",5,NA,NA,NA,NA
2015-09-25,0,4,4,Illinois,Danville,http://www.gunviolencearchive.org/incident/426559,"40.1402, -87.6022",15,NA,NA,NA,NA
2015-09-24,0,5,5,Illinois,Chicago,http://www.gunviolencearchive.org/incident/419718,"41.8015, -87.6502",7,NA,NA,NA,NA
2015-09-23,0,5,5,Louisiana,Shreveport,http://www.gunviolencearchive.org/incident/419250,"32.5491, -93.8241",4,NA,NA,NA,NA
2015-09-23,0,4,4,Florida,Fort Myers,http://www.gunviolencearchive.org/incident/418964,"26.6471, -81.8401",19,NA,NA,NA,NA
2015-09-23,1,3,4,Georgia,Norcross,http://www.gunviolencearchive.org/incident/419826,"33.9105, -84.1744",7,NA,NA,NA,NA
2015-09-20,1,3,4,Pennsylvania,Philadelphia,http://www.gunviolencearchive.org/incident/417284,"40.0307, -75.093",13,NA,NA,NA,NA
2015-09-20,1,5,6,Illinois,Chicago,http://www.gunviolencearchive.org/incident/416872,"41.7909, -87.6292",7,NA,NA,NA,NA
2015-09-20,0,6,6,Oklahoma,Tulsa,http://www.gunviolencearchive.org/incident/417013,"36.1771, -95.9225",1,NA,NA,NA,NA
2015-09-19,1,3,4,Indiana,Indianapolis,http://www.gunviolencearchive.org/incident/416812,"39.8264, -86.1628",7,NA,NA,NA,NA
2015-09-17,6,0,6,South Dakota,Geddes,http://www.gunviolencearchive.org/incident/418318,"43.3153, -98.6045",1,NA,NA,NA,NA
2015-09-17,0,4,4,Michigan,Albion,http://www.gunviolencearchive.org/incident/415687,"42.2569, -84.7601",3,NA,NA,9mm,45 Auto
2015-09-15,0,4,4,New Jersey,Newark,http://www.gunviolencearchive.org/incident/414580,"40.7321, -74.1893",10,NA,NA,NA,NA
2015-09-13,1,5,6,Florida,Ocala,http://www.gunviolencearchive.org/incident/413001,"29.1685, -82.1384",11,NA,NA,NA,NA
2015-09-12,0,4,4,Louisiana,Shreveport,http://www.gunviolencearchive.org/incident/412996,"32.458, -93.7609",4,NA,NA,NA,NA
2015-09-12,2,4,6,New York,Rochester,http://www.gunviolencearchive.org/incident/412487,"43.1643, -77.5993",25,NA,NA,NA,NA
2015-09-12,0,6,6,Minnesota,Minneapolis,http://www.gunviolencearchive.org/incident/412529,"44.9804, -93.2738",5,NA,NA,NA,NA
2015-09-12,1,3,4,Minnesota,Minneapolis,http://www.gunviolencearchive.org/incident/412539,"45.0015, -93.2957",5,NA,NA,NA,NA
2015-09-11,0,5,5,North Carolina,Charlotte,http://www.gunviolencearchive.org/incident/412557,"35.2392, -80.8457",12,NA,NA,NA,NA
2015-09-10,5,0,5,Minnesota,Excelsior (Greenwood),http://www.gunviolencearchive.org/incident/412040,"47.6919, -95.4311",7,NA,NA,NA,NA
2015-09-08,0,4,4,Georgia,Berlin,http://www.gunviolencearchive.org/incident/411888,"31.0691, -83.6237",8,NA,NA,NA,22 LR
2015-09-08,0,4,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/409856,"41.7925, -87.6463",7,NA,NA,NA,NA
2015-09-07,2,4,6,Indiana,Gary,http://www.gunviolencearchive.org/incident/409732,"41.5971, -87.2256",1,NA,NA,NA,NA
2015-09-07,0,4,4,Colorado,Denver,http://www.gunviolencearchive.org/incident/409601,"39.7538, -104.995",1,NA,NA,NA,NA
2015-09-05,1,3,4,North Carolina,Charlotte,http://www.gunviolencearchive.org/incident/408449,"35.1607, -80.9106",12,NA,NA,NA,NA
2015-09-05,0,4,4,Florida,Daytona Beach,http://www.gunviolencearchive.org/incident/408276,"29.2131, -81.0295",6,NA,NA,NA,NA
2015-09-05,1,3,4,Nevada,Las Vegas,http://www.gunviolencearchive.org/incident/409101,"36.0924, -115.029",3,NA,NA,NA,NA
2015-09-05,0,4,4,Missouri,Columbia,http://www.gunviolencearchive.org/incident/408256,"38.9673, -92.3187",4,NA,NA,NA,NA
2015-08-30,1,4,5,Tennessee,Memphis,http://www.gunviolencearchive.org/incident/404167,"35.1495, -90.049",9,NA,NA,NA,NA
2015-08-29,3,2,5,Tennessee,Bristol,http://www.gunviolencearchive.org/incident/404238,"36.5738, -82.0968",1,AR-15,NA,NA,NA
2015-08-29,1,3,4,Texas,Tyler,http://www.gunviolencearchive.org/incident/405133,"32.3899, -95.2897",1,AR-15,NA,NA,NA
2015-08-28,1,3,4,New York,Brooklyn,http://www.gunviolencearchive.org/incident/403069,"40.6591, -73.9602",9,NA,NA,NA,NA
2015-08-27,2,2,4,California,Salinas,http://www.gunviolencearchive.org/incident/403669,"36.6551, -121.658",20,NA,NA,NA,NA
2015-08-26,2,2,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/402113,"41.8757, -87.702",7,NA,NA,NA,NA
2015-08-26,0,4,4,Minnesota,Minneapolis (Brooklyn Center),http://www.gunviolencearchive.org/incident/401884,"45.0459, -93.3271",5,NA,NA,NA,NA
2015-08-26,2,2,4,Florida,West Palm Beach,http://www.gunviolencearchive.org/incident/402051,"26.7318, -80.0595",20,NA,NA,NA,NA
2015-08-25,1,3,4,Louisiana,New Orleans,http://www.gunviolencearchive.org/incident/402108,"29.9618, -90.1112",2,NA,NA,NA,NA
2015-08-23,1,7,8,California,Modesto,http://www.gunviolencearchive.org/incident/400091,"37.6454, -121.023",10,NA,NA,NA,NA
2015-08-22,0,4,4,Florida,Orlando (Pine Hills),http://www.gunviolencearchive.org/incident/399883,"28.5382, -81.3481",10,NA,NA,NA,NA
2015-08-22,3,1,4,New Mexico,Roswell,http://www.gunviolencearchive.org/incident/399564,"33.3814, -104.518",2,NA,NA,NA,NA
2015-08-21,0,8,8,North Carolina,Durham,http://www.gunviolencearchive.org/incident/399212,"36.0297, -78.8777",1,NA,NA,NA,NA
2015-08-21,2,5,7,Ohio,Cincinnati,http://www.gunviolencearchive.org/incident/399367,"39.1595, -84.3908",2,NA,NA,NA,NA
2015-08-20,2,2,4,Texas,Grulla (La Grulla),http://www.gunviolencearchive.org/incident/398975,"26.2787, -98.6457",28,NA,NA,NA,NA
2015-08-19,3,4,7,New York,Rochester,http://www.gunviolencearchive.org/incident/398361,"43.1402, -77.6359",25,AK-47,NA,NA,22 LR
2015-08-16,0,6,6,Texas,Fort Worth,http://www.gunviolencearchive.org/incident/395844,"32.6336, -97.3723",6,NA,NA,NA,NA
2015-08-16,0,4,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/395757,"41.9025, -87.7612",7,NA,NA,NA,NA
2015-08-16,0,5,5,South Carolina,Bennettsville,http://www.gunviolencearchive.org/incident/395718,"34.6583, -79.6927",7,NA,NA,NA,NA
2015-08-15,1,3,4,Pennsylvania,Pittsburgh,http://www.gunviolencearchive.org/incident/395837,"40.4475, -80.0743",14,NA,NA,NA,NA
2015-08-15,0,4,4,California,Los Angeles,http://www.gunviolencearchive.org/incident/395694,"33.991, -118.3",37,NA,NA,NA,NA
2015-08-15,1,3,4,South Carolina,Orangeburg,http://www.gunviolencearchive.org/incident/395549,"33.4788, -80.9084",6,NA,NA,NA,NA
2015-08-10,0,4,4,California,Long Beach,http://www.gunviolencearchive.org/incident/392131,"33.779, -118.171",47,NA,NA,NA,NA
2015-08-09,1,3,4,Mississippi,Forest,http://www.gunviolencearchive.org/incident/391263,"32.3708, -89.4567",3,NA,NA,NA,NA
2015-08-09,1,3,4,Michigan,Detroit,http://www.gunviolencearchive.org/incident/391219,"42.4248, -82.965",14,NA,NA,NA,NA
2015-08-09,0,4,4,Missouri,Kansas City,http://www.gunviolencearchive.org/incident/391014,"39.0551, -94.5931",5,NA,NA,NA,NA
2015-08-08,2,3,5,North Carolina,Gastonia,http://www.gunviolencearchive.org/incident/390914,"35.1922, -81.2406",10,NA,Handgun,NA,NA
2015-08-08,1,11,12,Arkansas,Blytheville,http://www.gunviolencearchive.org/incident/390774,"35.9194, -89.8967",1,NA,NA,NA,NA
2015-08-08,8,0,8,Texas,Houston,http://www.gunviolencearchive.org/incident/390526,"29.9199, -95.452",18,NA,NA,NA,NA
2015-08-07,4,0,4,Vermont,Barre (Berlin),http://www.gunviolencearchive.org/incident/390050,"44.1984, -72.5351",NA,NA,NA,NA,NA
2015-08-06,0,4,4,South Carolina,Columbia,http://www.gunviolencearchive.org/incident/389057,"34.0124, -81.0111",6,NA,NA,NA,NA
2015-08-04,1,4,5,Missouri,Saint Louis,http://www.gunviolencearchive.org/incident/389149,"38.672, -90.2691",1,NA,NA,NA,NA
2015-08-03,0,5,5,New York,Brooklyn,http://www.gunviolencearchive.org/incident/387194,"40.6756, -74.0096",7,NA,NA,NA,40 SW
2015-08-02,0,9,9,New York,Brooklyn,http://www.gunviolencearchive.org/incident/385779,"40.6655, -73.8675",8,NA,NA,NA,NA
2015-08-02,0,7,7,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/386140,"39.3501, -76.6638",7,NA,NA,NA,NA
2015-08-02,1,4,5,Illinois,Chicago,http://www.gunviolencearchive.org/incident/385824,"41.9051, -87.7461",7,NA,NA,NA,NA
2015-08-02,0,5,5,Georgia,Savannah,http://www.gunviolencearchive.org/incident/386066,"32.0631, -81.1004",1,NA,NA,NA,NA
2015-08-02,0,4,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/401742,"41.7721, -87.6725",7,NA,NA,NA,NA
2015-08-01,0,4,4,Florida,Orlando,http://www.gunviolencearchive.org/incident/386937,"28.5324, -81.3079",9,NA,NA,NA,NA
2015-07-30,0,4,4,Pennsylvania,Pittsburgh,http://www.gunviolencearchive.org/incident/384662,"40.4583, -79.8886",14,NA,NA,NA,NA
2015-07-27,0,5,5,Illinois,Rockford,http://www.gunviolencearchive.org/incident/382459,"42.2637, -89.109",17,NA,NA,NA,NA
2015-07-26,2,3,5,Missouri,Kansas City,http://www.gunviolencearchive.org/incident/381814,"39.1071, -94.5202",5,NA,NA,NA,NA
2015-07-26,0,4,4,Louisiana,New Orleans,http://www.gunviolencearchive.org/incident/382170,"29.9887, -90.035",2,AR-15,NA,NA,NA
2015-07-25,0,4,4,Virginia,Hopewell,http://www.gunviolencearchive.org/incident/381433,"37.3058, -77.2941",4,NA,NA,NA,NA
2015-07-24,2,5,7,Pennsylvania,Erie,http://www.gunviolencearchive.org/incident/382413,"42.108, -80.0763",NA,NA,NA,NA,NA
2015-07-23,3,9,12,Louisiana,Lafayette,http://www.gunviolencearchive.org/incident/380162,"30.202, -92.0459",3,NA,NA,NA,40 SW
2015-07-22,5,0,5,Georgia,Suwanee,http://www.gunviolencearchive.org/incident/379166,"34.0802, -84.1272",7,NA,NA,NA,NA
2015-07-21,1,3,4,Florida,Miami Gardens,http://www.gunviolencearchive.org/incident/378452,"25.9411, -80.2434",24,NA,NA,NA,NA
2015-07-20,0,6,6,New York,Bronx,http://www.gunviolencearchive.org/incident/377878,"40.8211, -73.9257",15,NA,Handgun,NA,NA
2015-07-19,0,4,4,Virginia,Suffolk,http://www.gunviolencearchive.org/incident/377189,"36.7257, -76.5677",4,NA,NA,NA,NA
2015-07-19,0,6,6,Kentucky,Louisville,http://www.gunviolencearchive.org/incident/377047,"38.2436, -85.8024",3,NA,NA,NA,NA
2015-07-19,0,4,4,North Carolina,Rocky Mount,http://www.gunviolencearchive.org/incident/377181,"35.9457, -77.7581",1,NA,NA,NA,NA
2015-07-18,0,4,4,California,San Diego,http://www.gunviolencearchive.org/incident/378102,"32.7043, -117.124",51,NA,NA,NA,NA
2015-07-18,0,5,5,California,Santa Paula,http://www.gunviolencearchive.org/incident/390936,"34.4009, -119.08",26,NA,NA,NA,NA
2015-07-18,1,4,5,Oregon,Salem,http://www.gunviolencearchive.org/incident/376702,"44.9489, -122.991",5,NA,NA,NA,NA
2015-07-18,2,2,4,Louisiana,Baton Rouge,http://www.gunviolencearchive.org/incident/377423,"30.4457, -91.171",2,NA,NA,NA,NA
2015-07-17,0,5,5,Illinois,Chicago,http://www.gunviolencearchive.org/incident/376211,"41.8848, -87.7359",7,NA,NA,NA,NA
2015-07-17,0,4,4,Ohio,Cincinnati (Westwood),http://www.gunviolencearchive.org/incident/376203,"39.1436, -84.5789",1,NA,NA,NA,NA
2015-07-16,6,2,8,Tennessee,Chattanooga,http://www.gunviolencearchive.org/incident/375022,"35.0905, -85.2591",3,AR-15,handgun,9mm,9mm
2015-07-16,0,5,5,Texas,Dallas,http://www.gunviolencearchive.org/incident/375773,"32.7788, -96.8565",33,NA,NA,9mm,9mm
2015-07-15,0,5,5,Georgia,Atlanta,http://www.gunviolencearchive.org/incident/374602,"33.7689, -84.4638",5,NA,Handgun,NA,NA
2015-07-15,1,3,4,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/375322,"39.3285, -76.6824",7,NA,NA,NA,NA
2015-07-15,0,7,7,Ohio,Cleveland,http://www.gunviolencearchive.org/incident/375412,"41.5376, -81.6019",11,NA,NA,NA,NA
2015-07-15,0,4,4,Michigan,Detroit,http://www.gunviolencearchive.org/incident/374965,"42.362, -83.2117",13,NA,NA,NA,NA
2015-07-15,4,1,5,South Carolina,Holly Hill,http://www.gunviolencearchive.org/incident/374630,"33.3467, -80.45",6,NA,NA,NA,NA
2015-07-14,0,4,4,Missouri,Saint Louis,http://www.gunviolencearchive.org/incident/374292,"38.7227, -90.2361",1,NA,NA,NA,NA
2015-07-13,0,4,4,California,Norwalk,http://www.gunviolencearchive.org/incident/373993,"33.8844, -118.078",38,NA,NA,NA,NA
2015-07-13,1,4,5,California,Stockton,http://www.gunviolencearchive.org/incident/373768,"37.9709, -121.291",9,NA,NA,NA,NA
2015-07-12,2,3,5,Illinois,River Forest,http://www.gunviolencearchive.org/incident/373095,"41.8819, -87.815",7,NA,NA,NA,NA
2015-07-12,0,4,4,New Jersey,Jersey City,http://www.gunviolencearchive.org/incident/373063,"40.732, -74.0707",10,NA,NA,NA,NA
2015-07-07,1,3,4,Ohio,Cleveland,http://www.gunviolencearchive.org/incident/370187,"41.4411, -81.5684",11,NA,NA,NA,NA
2015-07-07,3,1,4,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/370474,"39.2901, -76.6324",7,NA,NA,NA,NA
2015-07-05,0,8,8,Louisiana,Shreveport,http://www.gunviolencearchive.org/incident/369014,"32.4801, -93.7804",4,NA,NA,NA,NA
2015-07-05,0,9,9,Indiana,Fort Wayne,http://www.gunviolencearchive.org/incident/368732,"41.0793, -85.1394",3,NA,NA,NA,NA
2015-07-05,1,3,4,New Jersey,East Orange,http://www.gunviolencearchive.org/incident/369196,"40.7586, -74.2205",10,NA,NA,NA,NA
2015-07-04,1,3,4,District of Columbia,Washington,http://www.gunviolencearchive.org/incident/368867,"38.8519, -76.9775",1,NA,NA,NA,NA
2015-07-04,0,4,4,Kentucky,Louisville,http://www.gunviolencearchive.org/incident/369410,"38.249, -85.7937",3,NA,NA,NA,NA
2015-07-04,1,4,5,Massachusetts,Pittsfield,http://www.gunviolencearchive.org/incident/368987,"42.4542, -73.2604",1,NA,NA,NA,NA
2015-07-04,0,4,4,New York,Syracuse,http://www.gunviolencearchive.org/incident/368995,"43.0334, -76.1612",24,NA,NA,NA,NA
2015-07-04,0,4,4,Texas,San Antonio,http://www.gunviolencearchive.org/incident/369127,"29.472, -98.526",20,NA,NA,NA,NA
2015-07-02,1,3,4,Indiana,Indianapolis,http://www.gunviolencearchive.org/incident/367780,NA,NA,NA,NA,NA,NA
2015-06-29,0,4,4,Florida,Opa Locka,http://www.gunviolencearchive.org/incident/366046,"25.8967, -80.2477",24,NA,NA,NA,NA
2015-06-28,0,5,5,Michigan,Detroit,http://www.gunviolencearchive.org/incident/365391,"42.416, -82.9902",14,NA,NA,NA,NA
2015-06-28,0,6,6,Illinois,Venice,http://www.gunviolencearchive.org/incident/367099,"38.6723, -90.1698",12,NA,Handgun,NA,NA
2015-06-28,0,6,6,Delaware,Harrington,http://www.gunviolencearchive.org/incident/365399,"38.921, -75.5748",0,NA,NA,NA,NA
2015-06-27,1,3,4,Massachusetts,Taunton,http://www.gunviolencearchive.org/incident/364872,"41.8948, -71.091",4,NA,NA,NA,NA
2015-06-27,0,4,4,Michigan,Detroit,http://www.gunviolencearchive.org/incident/364789,"42.3914, -82.9728",13,NA,NA,NA,NA
2015-06-24,0,4,4,New York,New York (Manhattan),http://www.gunviolencearchive.org/incident/363418,"40.8107, -73.9373",13,NA,NA,NA,NA
2015-06-22,0,7,7,Pennsylvania,Philadelphia,http://www.gunviolencearchive.org/incident/361948,"39.9974, -75.1172",1,NA,NA,NA,NA
2015-06-21,0,4,4,Pennsylvania,Pittsburgh (Wilkinsburg),http://www.gunviolencearchive.org/incident/366949,"40.4382, -79.8796",14,NA,NA,NA,NA
2015-06-21,1,4,5,Kentucky,Lexington,http://www.gunviolencearchive.org/incident/361708,"38.0686, -84.5023",6,NA,NA,NA,NA
2015-06-20,1,11,12,Michigan,Detroit,http://www.gunviolencearchive.org/incident/361212,"42.3797, -83.1241",13,NA,NA,NA,NA
2015-06-20,0,4,4,North Carolina,Morven,http://www.gunviolencearchive.org/incident/360895,"34.864, -80.0012",8,NA,NA,NA,NA
