date,killed,injured,victims,state,city,address,incident
2015-09-23,0,5,5,Louisiana,Shreveport,2900 block of Peach Street,http://www.gunviolencearchive.org/incident/419250
2015-09-23,0,4,4,Florida,Fort Myers,Dale Street and Veronica S. Shoemaker Boulevard,http://www.gunviolencearchive.org/incident/418964
2015-09-23,1,3,4,Georgia,Norcross,1300 block of Reddington Lane,http://www.gunviolencearchive.org/incident/419826
2015-09-20,1,3,4,Pennsylvania,Philadelphia,900 block of Pratt Street,http://www.gunviolencearchive.org/incident/417284
2015-09-20,1,5,6,Illinois,Chicago,5700 block of South LaSalle,http://www.gunviolencearchive.org/incident/416872
2015-09-20,0,6,6,Oklahoma,Tulsa,Pine and Yale,http://www.gunviolencearchive.org/incident/417013
2015-09-19,1,3,4,Indiana,Indianapolis,3900 block of Graceland Avenue,http://www.gunviolencearchive.org/incident/416812
2015-09-17,6,0,6,South Dakota,Geddes,36705 379th Street,http://www.gunviolencearchive.org/incident/418318
2015-09-17,0,4,4,Michigan,Albion,500 block of W. Broadwell Street,http://www.gunviolencearchive.org/incident/415687
2015-09-15,0,4,4,New Jersey,Newark,Irvine Turner Boulevard and West Kinney Street,http://www.gunviolencearchive.org/incident/414580
2015-09-13,1,5,6,Florida,Ocala,1910 South Pine Avenue,http://www.gunviolencearchive.org/incident/413001
2015-09-12,0,4,4,Louisiana,Shreveport,1500 block of Clanton Street,http://www.gunviolencearchive.org/incident/412996
2015-09-12,2,4,6,New York,Rochester,36 Woodward Street,http://www.gunviolencearchive.org/incident/412487
2015-09-12,0,6,6,Minnesota,Minneapolis,1st Ave. and N. 5th St.,http://www.gunviolencearchive.org/incident/412529
2015-09-12,1,3,4,Minnesota,Minneapolis,1200 block of 22nd Ave. N.,http://www.gunviolencearchive.org/incident/412539
2015-09-11,0,5,5,North Carolina,Charlotte,1000 North Carolina Music Factory Blvd.,http://www.gunviolencearchive.org/incident/412557
2015-09-10,5,0,5,Minnesota,Excelsior (Greenwood),Channel Drive,http://www.gunviolencearchive.org/incident/412040
2015-09-08,0,4,4,Georgia,Berlin,N/A,http://www.gunviolencearchive.org/incident/411888
2015-09-08,0,4,4,Illinois,Chicago,56th and Green,http://www.gunviolencearchive.org/incident/409856
2015-09-07,2,4,6,Indiana,Gary,9300 block of Sunrise,http://www.gunviolencearchive.org/incident/409732
2015-09-07,0,4,4,Colorado,Denver,1909 Blake Street,http://www.gunviolencearchive.org/incident/409601
2015-09-05,1,3,4,North Carolina,Charlotte,6800 block of Fieldvale Place,http://www.gunviolencearchive.org/incident/408449
2015-09-05,0,4,4,Florida,Daytona Beach,300 block of Pearl Street,http://www.gunviolencearchive.org/incident/408276
2015-09-05,1,3,4,Nevada,Las Vegas,5000 block of Hollywood Boulevard,http://www.gunviolencearchive.org/incident/409101
2015-09-05,0,4,4,Missouri,Columbia,1509 Ashley Street,http://www.gunviolencearchive.org/incident/408256
2015-08-30,1,4,5,Tennessee,Memphis,3300 block of Sobota Circle,http://www.gunviolencearchive.org/incident/404167
2015-08-29,3,2,5,Tennessee,Bristol,618 Henson Road,http://www.gunviolencearchive.org/incident/404238
2015-08-29,1,3,4,Texas,Tyler,638 ENE Loop 323,http://www.gunviolencearchive.org/incident/405133
2015-08-28,1,3,4,New York,Brooklyn,589 Flatbush Avenue,http://www.gunviolencearchive.org/incident/403069
2015-08-27,2,2,4,California,Salinas,928 Blanco Circle,http://www.gunviolencearchive.org/incident/403669
2015-08-26,2,2,4,Illinois,Chicago,3025 W. Van Buren Ave,http://www.gunviolencearchive.org/incident/402113
2015-08-26,0,4,4,Minnesota,Minneapolis (Brooklyn Center),5000 block of Drew Avenue North,http://www.gunviolencearchive.org/incident/401884
2015-08-26,2,2,4,Florida,West Palm Beach,800 block of 19th Street,http://www.gunviolencearchive.org/incident/402051
2015-08-25,1,3,4,Louisiana,New Orleans,Fern Street and Olive Street,http://www.gunviolencearchive.org/incident/402108
2015-08-23,1,7,8,California,Modesto,1100 block of Kansas Avenue,http://www.gunviolencearchive.org/incident/400091
2015-08-22,0,4,4,Florida,Orlando (Pine Hills),State Road 408,http://www.gunviolencearchive.org/incident/399883
2015-08-22,3,1,4,New Mexico,Roswell,302 East Reed Street,http://www.gunviolencearchive.org/incident/399564
2015-08-21,0,8,8,North Carolina,Durham,2700 block of Hinson Drive,http://www.gunviolencearchive.org/incident/399212
2015-08-21,2,5,7,Ohio,Cincinnati,Mathis and Prentice,http://www.gunviolencearchive.org/incident/399367
2015-08-20,2,2,4,Texas,Grulla (La Grulla),FM 2360,http://www.gunviolencearchive.org/incident/398975
2015-08-19,3,4,7,New York,Rochester,500 Genesee St,http://www.gunviolencearchive.org/incident/398361
2015-08-16,0,6,6,Texas,Fort Worth,3651 Sycamore School Rd,http://www.gunviolencearchive.org/incident/395844
2015-08-16,0,4,4,Illinois,Chicago,5400 block of West Division Street,http://www.gunviolencearchive.org/incident/395757
2015-08-16,0,5,5,South Carolina,Bennettsville,Highway 38N,http://www.gunviolencearchive.org/incident/395718
2015-08-15,1,3,4,Pennsylvania,Pittsburgh,West Prospect Avenue,http://www.gunviolencearchive.org/incident/395837
2015-08-15,0,4,4,California,Los Angeles,57th Street and South Normandie Avenue,http://www.gunviolencearchive.org/incident/395694
2015-08-15,1,3,4,South Carolina,Orangeburg,2868 Bamberg Road,http://www.gunviolencearchive.org/incident/395549
2015-08-10,0,4,4,California,Long Beach,1700 block of East 10th Street,http://www.gunviolencearchive.org/incident/392131
2015-08-09,1,3,4,Mississippi,Forest,Poplar Street,http://www.gunviolencearchive.org/incident/391263
2015-08-09,1,3,4,Michigan,Detroit,15200 block of Hazelridge,http://www.gunviolencearchive.org/incident/391219
2015-08-09,0,4,4,Missouri,Kansas City,40th Street and Pennsylvania Avenue,http://www.gunviolencearchive.org/incident/391014
2015-08-08,2,3,5,North Carolina,Gastonia,4908 Greenwood Drive,http://www.gunviolencearchive.org/incident/390914
2015-08-08,1,11,12,Arkansas,Blytheville,833 Anderson Street,http://www.gunviolencearchive.org/incident/390774
2015-08-08,8,0,8,Texas,Houston,2211 Falling Oaks,http://www.gunviolencearchive.org/incident/390526
2015-08-07,4,0,4,Vermont,Barre (Berlin),3182 Airport Rd,http://www.gunviolencearchive.org/incident/390050
2015-08-06,0,4,4,South Carolina,Columbia,1505 Garden Plaza,http://www.gunviolencearchive.org/incident/389057
2015-08-04,1,4,5,Missouri,Saint Louis,2500 block of Semple,http://www.gunviolencearchive.org/incident/389149
2015-08-03,0,5,5,New York,Brooklyn,98 Dwight Street,http://www.gunviolencearchive.org/incident/387194
2015-08-02,0,9,9,New York,Brooklyn,Stanley Avenue and Crescent Street,http://www.gunviolencearchive.org/incident/385779
2015-08-02,0,7,7,Maryland,Baltimore,2700 block of Garrison Avenue,http://www.gunviolencearchive.org/incident/386140
2015-08-02,1,4,5,Illinois,Chicago,4800 block of West Kamerling Avenue,http://www.gunviolencearchive.org/incident/385824
2015-08-02,0,5,5,Georgia,Savannah,Barnard Street,http://www.gunviolencearchive.org/incident/386066
2015-08-02,0,4,4,Illinois,Chicago,6700 block of South Winchester Avenue,http://www.gunviolencearchive.org/incident/401742
2015-08-01,0,4,4,Florida,Orlando,5801 Shenandoah Way,http://www.gunviolencearchive.org/incident/386937
2015-07-30,0,4,4,Pennsylvania,Pittsburgh,Brushton Avenue,http://www.gunviolencearchive.org/incident/384662
2015-07-27,0,5,5,Illinois,Rockford,900 block of Kent Street,http://www.gunviolencearchive.org/incident/382459
2015-07-26,2,3,5,Missouri,Kansas City,Thompson and Colorado,http://www.gunviolencearchive.org/incident/381814
2015-07-26,0,4,4,Louisiana,New Orleans,Piety and Treasure street,http://www.gunviolencearchive.org/incident/382170
2015-07-25,0,4,4,Virginia,Hopewell,500 block of N. 7th Ave,http://www.gunviolencearchive.org/incident/381433
2015-07-24,2,5,7,Pennsylvania,Erie,200 block of W 29th St,http://www.gunviolencearchive.org/incident/382413
2015-07-23,3,9,12,Louisiana,Lafayette,3141 Johnson Street,http://www.gunviolencearchive.org/incident/380162
2015-07-22,5,0,5,Georgia,Suwanee,5500 block of Old Atlanta Road,http://www.gunviolencearchive.org/incident/379166
2015-07-21,1,3,4,Florida,Miami Gardens,Northwest 25th Avenue and Miami Gardens Drive,http://www.gunviolencearchive.org/incident/378452
2015-07-20,0,6,6,New York,Bronx,E. 153rd St. and the Grand Concourse,http://www.gunviolencearchive.org/incident/377878
2015-07-19,0,4,4,Virginia,Suffolk,100 block of North Capitol Street,http://www.gunviolencearchive.org/incident/377189
2015-07-19,0,6,6,Kentucky,Louisville,2928 W Kentucky St,http://www.gunviolencearchive.org/incident/377047
2015-07-19,0,4,4,North Carolina,Rocky Mount,Interstate 64 and Raliegh Street,http://www.gunviolencearchive.org/incident/377181
2015-07-18,0,4,4,California,San Diego,200 block of South Bancroft Street,http://www.gunviolencearchive.org/incident/378102
2015-07-18,0,5,5,California,Santa Paula,Ojai-Santa Paula Street,http://www.gunviolencearchive.org/incident/390936
2015-07-18,1,4,5,Oregon,Salem,1550 Weston Ct NE,http://www.gunviolencearchive.org/incident/376702
2015-07-18,2,2,4,Louisiana,Baton Rouge,300 block of Brice Street,http://www.gunviolencearchive.org/incident/377423
2015-07-17,0,5,5,Illinois,Chicago,4400 block of W. Maypole,http://www.gunviolencearchive.org/incident/376211
2015-07-17,0,4,4,Ohio,Cincinnati (Westwood),3100 block of Sunshine Avenue,http://www.gunviolencearchive.org/incident/376203
2015-07-16,6,2,8,Tennessee,Chattanooga,4051 Amnicola Highway,http://www.gunviolencearchive.org/incident/375022
2015-07-16,0,5,5,Texas,Dallas,Singleton and Hampton,http://www.gunviolencearchive.org/incident/375773
2015-07-15,0,5,5,Georgia,Atlanta,500 block of Center Hill Avenue,http://www.gunviolencearchive.org/incident/374602
2015-07-15,1,3,4,Maryland,Baltimore,3500 block of West Garrison Boulevard,http://www.gunviolencearchive.org/incident/375322
2015-07-15,0,7,7,Ohio,Cleveland,700 block of Thornhill,http://www.gunviolencearchive.org/incident/375412
2015-07-15,0,4,4,Michigan,Detroit,9200 block of Memorial,http://www.gunviolencearchive.org/incident/374965
2015-07-15,4,1,5,South Carolina,Holly Hill,7050 Old State Road,http://www.gunviolencearchive.org/incident/374630
2015-07-14,0,4,4,Missouri,Saint Louis,1100 block of Riverview,http://www.gunviolencearchive.org/incident/374292
2015-07-13,0,4,4,California,Norwalk,11959 162nd Street,http://www.gunviolencearchive.org/incident/373993
2015-07-13,1,4,5,California,Stockton,400 block of McCloud Avenue,http://www.gunviolencearchive.org/incident/373768
2015-07-12,2,3,5,Illinois,River Forest,116 Lathrop Avenue,http://www.gunviolencearchive.org/incident/373095
2015-07-12,0,4,4,New Jersey,Jersey City,Sip and Van Wagenen avenues,http://www.gunviolencearchive.org/incident/373063
2015-07-07,1,3,4,Ohio,Cleveland,East 162nd Street and Miles Avenue,http://www.gunviolencearchive.org/incident/370187
2015-07-07,3,1,4,Maryland,Baltimore,900 block of West Fayette Street,http://www.gunviolencearchive.org/incident/370474
2015-07-05,0,8,8,Louisiana,Shreveport,3500 block of Hearne Avenue,http://www.gunviolencearchive.org/incident/369014
2015-07-05,0,9,9,Indiana,Fort Wayne,1400 block of McCulloch Street,http://www.gunviolencearchive.org/incident/368732
2015-07-05,1,3,4,New Jersey,East Orange,200 block of S. Clinton St,http://www.gunviolencearchive.org/incident/369196
2015-07-04,1,3,4,District of Columbia,Washington,2600 Douglas Place SE,http://www.gunviolencearchive.org/incident/368867
2015-07-04,0,4,4,Kentucky,Louisville,2500 block of West Broadway,http://www.gunviolencearchive.org/incident/369410
2015-07-04,1,4,5,Massachusetts,Pittsfield,Dewey Avenue,http://www.gunviolencearchive.org/incident/368987
2015-07-04,0,4,4,New York,Syracuse,Bellevue and Rich Street,http://www.gunviolencearchive.org/incident/368995
2015-07-04,0,4,4,Texas,San Antonio,1100 block of West Avenue,http://www.gunviolencearchive.org/incident/369127
2015-07-02,1,3,4,Indiana,Indianapolis,Lynn and Michigan,http://www.gunviolencearchive.org/incident/367780
2015-06-29,0,4,4,Florida,Opa Locka,13450 NW 30th Ave,http://www.gunviolencearchive.org/incident/366046
2015-06-28,0,5,5,Michigan,Detroit,Gratiot and Loretto,http://www.gunviolencearchive.org/incident/365391
2015-06-28,0,6,6,Illinois,Venice,N/A,http://www.gunviolencearchive.org/incident/367099
2015-06-28,0,6,6,Delaware,Harrington,100 block of East St,http://www.gunviolencearchive.org/incident/365399
2015-06-27,1,3,4,Massachusetts,Taunton,Weir Street,http://www.gunviolencearchive.org/incident/364872
2015-06-27,0,4,4,Michigan,Detroit,Stringham Court,http://www.gunviolencearchive.org/incident/364789
2015-06-24,0,4,4,New York,New York (Manhattan),2110 Madison Ave,http://www.gunviolencearchive.org/incident/363418
2015-06-22,0,7,7,Pennsylvania,Philadelphia,700 block of East Hilton Street,http://www.gunviolencearchive.org/incident/361948
2015-06-21,0,4,4,Pennsylvania,Pittsburgh (Wilkinsburg),Rebecca and East Swissvale Avenue,http://www.gunviolencearchive.org/incident/366949
2015-06-21,1,4,5,Kentucky,Lexington,726 Georgetown St,http://www.gunviolencearchive.org/incident/361708
2015-06-20,1,11,12,Michigan,Detroit,Dexter and Webb,http://www.gunviolencearchive.org/incident/361212
2015-06-20,0,4,4,North Carolina,Morven,N/A,http://www.gunviolencearchive.org/incident/360895
2015-06-20,0,11,11,Pennsylvania,Philadelphia,4100 block of Ogden Street,http://www.gunviolencearchive.org/incident/361198
2015-06-19,0,4,4,Rhode Island,Woonsocket,80 River Street,http://www.gunviolencearchive.org/incident/361014
2015-06-17,9,0,9,South Carolina,Charleston,110 Calhoun Street,http://www.gunviolencearchive.org/incident/359830
2015-06-16,0,4,4,Florida,Miami Gardens,600 block of Northwest 177th Street,http://www.gunviolencearchive.org/incident/359215
2015-06-15,0,4,4,New York,Brooklyn,673 Flatbush Avenue,http://www.gunviolencearchive.org/incident/358117
2015-06-14,1,3,4,New Jersey,Camden,2800 block of Mitchell Street,http://www.gunviolencearchive.org/incident/357597
2015-06-14,0,4,4,Oklahoma,Tulsa,1800 block of North Kingston,http://www.gunviolencearchive.org/incident/357667
2015-06-14,0,4,4,Missouri,Saint Louis,1400 block of North Market Street,http://www.gunviolencearchive.org/incident/357611
2015-06-13,1,4,5,Georgia,Fayetteville,600 block of Highway 279,http://www.gunviolencearchive.org/incident/357732
2015-06-13,1,3,4,Georgia,Milledgeville,451 North Flynn Street,http://www.gunviolencearchive.org/incident/357770
2015-06-13,0,5,5,New York,Bronx,2409 Creston Avenue,http://www.gunviolencearchive.org/incident/357701
2015-06-13,0,4,4,Oklahoma,Oklahoma City,500 block of Se 69th St,http://www.gunviolencearchive.org/incident/357590
2015-06-13,4,1,5,Ohio,Columbus,1623 E. Hudson Street,http://www.gunviolencearchive.org/incident/357164
2015-06-12,0,4,4,Florida,Allapattah,24th Avenue and 36th Street,http://www.gunviolencearchive.org/incident/357220
2015-06-11,1,8,9,Connecticut,Bridgeport,468 Trumbull Avenue,http://www.gunviolencearchive.org/incident/356065
2015-06-11,1,3,4,Texas,Houston,3400 block of Burkett,http://www.gunviolencearchive.org/incident/355883
2015-06-10,1,3,4,California,Los Angeles,South Vermont Avenue and West 88th Street,http://www.gunviolencearchive.org/incident/355644
2015-06-09,1,3,4,Missouri,Saint Louis,North Market Street and North Spring Avenue,http://www.gunviolencearchive.org/incident/355267
2015-06-07,5,0,5,Montana,Deer Lodge,Boulder Creek Road,http://www.gunviolencearchive.org/incident/353854
2015-06-06,1,4,5,New York,Buffalo,100 block of Warren Avenue,http://www.gunviolencearchive.org/incident/353536
2015-06-06,0,5,5,Illinois,Chicago,100 block of North Lorel Avenue,http://www.gunviolencearchive.org/incident/353037
2015-06-05,0,5,5,Iowa,Davenport,900 block of West 3rd St,http://www.gunviolencearchive.org/incident/353382
2015-06-05,1,3,4,Louisiana,New Orleans,2100 block of Governor Nicholls Street,http://www.gunviolencearchive.org/incident/352779
2015-06-03,3,1,4,New York,Wyandanch,Davidson Street,http://www.gunviolencearchive.org/incident/351936
2015-05-31,3,1,4,Ohio,Cleveland,16209 block of Laverne Avenue,http://www.gunviolencearchive.org/incident/350163
2015-05-31,1,3,4,Maryland,Springdale,9222 Ardwick Ardmore Road,http://www.gunviolencearchive.org/incident/350021
2015-05-31,0,5,5,Connecticut,New Haven,849 Chapel Street,http://www.gunviolencearchive.org/incident/349976
2015-05-31,3,2,5,Georgia,Conyers,4669 Bell Road SE,http://www.gunviolencearchive.org/incident/350182
2015-05-30,0,4,4,California,San Diego,4200 block of Market Street,http://www.gunviolencearchive.org/incident/349289
2015-05-28,0,4,4,Nebraska,Omaha,84th and Q,http://www.gunviolencearchive.org/incident/348606
2015-05-28,0,5,5,Illinois,Chicago,6200 block of South Honore Street,http://www.gunviolencearchive.org/incident/348620
2015-05-28,1,3,4,Pennsylvania,Chester,2700 block of West 3rd Street,http://www.gunviolencearchive.org/incident/348673
2015-05-26,2,2,4,Louisiana,New Orleans,6700 block of Tara Lane,http://www.gunviolencearchive.org/incident/346725
2015-05-25,1,4,5,Illinois,Decatur,1816 N Water,http://www.gunviolencearchive.org/incident/346097
2015-05-24,0,5,5,Massachusetts,Brockton,1002 Main St,http://www.gunviolencearchive.org/incident/345681
2015-05-24,0,7,7,Michigan,Flint,W. 12th Street and Hammerberg Road.,http://www.gunviolencearchive.org/incident/345749
2015-05-24,1,3,4,Alabama,Montgomery,Smiley Court,http://www.gunviolencearchive.org/incident/346320
2015-05-24,0,4,4,Missouri,Saint Louis,2700 block of Dayton,http://www.gunviolencearchive.org/incident/346179
2015-05-23,2,2,4,California,Fresno,2400 block of South 9th Street,http://www.gunviolencearchive.org/incident/346202
2015-05-20,1,3,4,Maryland,Baltimore,800 block of Linwood Avenue,http://www.gunviolencearchive.org/incident/344302
2015-05-18,0,4,4,Missouri,Kinloch,8000 block of School Way,http://www.gunviolencearchive.org/incident/343106
2015-05-18,1,4,5,Florida,Miami,Northwest 75th Street and Northwest 16th Avenue,http://www.gunviolencearchive.org/incident/342589
2015-05-17,9,18,27,Texas,Waco,4671 S Jack Kultgen Fwy,http://www.gunviolencearchive.org/incident/341622
2015-05-16,0,5,5,Wisconsin,Milwaukee,28th Street and Auer Avenue,http://www.gunviolencearchive.org/incident/341465
2015-05-16,0,4,4,New York,Rochester,188 Lewis Street,http://www.gunviolencearchive.org/incident/341162
2015-05-16,0,5,5,Maryland,Baltimore,1700 block of North Broadway,http://www.gunviolencearchive.org/incident/341232
2015-05-12,1,4,5,Maryland,Capitol Heights,Pard Road,http://www.gunviolencearchive.org/incident/340280
2015-05-12,5,0,5,Arizona,Tucson,800 block of West Calle Medina Road,http://www.gunviolencearchive.org/incident/339229
2015-05-10,1,4,5,Ohio,Cleveland,3600 block of Bosworth Rd,http://www.gunviolencearchive.org/incident/337855
2015-05-10,0,4,4,New Jersey,Jersey City,Bostwick Avenue,http://www.gunviolencearchive.org/incident/338034
2015-05-10,1,3,4,New Jersey,Newark,19th Avenue and South 16th Street,http://www.gunviolencearchive.org/incident/337767
2015-05-07,0,4,4,Ohio,Cincinnati,2300 block of Baltimore Avenue,http://www.gunviolencearchive.org/incident/335903
2015-05-07,0,4,4,Michigan,Detroit,16000 block of Cathedral Street,http://www.gunviolencearchive.org/incident/336622
2015-05-04,1,3,4,New York,Buffalo,100 block of Roosevelt Avenue,http://www.gunviolencearchive.org/incident/334681
2015-05-03,0,4,4,Indiana,South Bend,1600 block of South William Street,http://www.gunviolencearchive.org/incident/334033
2015-05-03,0,6,6,Texas,Houston,San Jacinto at Elgin,http://www.gunviolencearchive.org/incident/333584
2015-05-03,0,4,4,New York,Bronx,University Avenue,http://www.gunviolencearchive.org/incident/334047
2015-05-03,1,6,7,Ohio,Dayton,2801 Germantown Street,http://www.gunviolencearchive.org/incident/333576
2015-05-03,4,1,5,Wisconsin,Menasha,Friendship Trail,http://www.gunviolencearchive.org/incident/333750
2015-05-01,2,3,5,Wisconsin,Milwaukee,3700 block of 37th Street,http://www.gunviolencearchive.org/incident/332732
2015-04-27,2,4,6,New York,Brooklyn,1365 Flatbush Ave,http://www.gunviolencearchive.org/incident/330611
2015-04-27,2,2,4,Arizona,Gila Bend,State Route 85,http://www.gunviolencearchive.org/incident/330750
2015-04-25,0,4,4,New Jersey,Trenton,Wood Street,http://www.gunviolencearchive.org/incident/329463
2015-04-25,1,6,7,New York,Gates,24 Hinchey Rd,http://www.gunviolencearchive.org/incident/329322
2015-04-21,2,3,5,Texas,Killeen,420 Gilmer St.,http://www.gunviolencearchive.org/incident/326792
2015-04-19,0,4,4,Virginia,Richmond,200 block of West Hill Street,http://www.gunviolencearchive.org/incident/325862
2015-04-18,0,5,5,Alabama,Montgomery,1800 block of Gibbs Court,http://www.gunviolencearchive.org/incident/327341
2015-04-18,0,5,5,Pennsylvania,Williamsport,321 Pine St,http://www.gunviolencearchive.org/incident/325445
2015-04-18,1,3,4,North Carolina,Lumberton,Martin Luther King Drive,http://www.gunviolencearchive.org/incident/325166
2015-04-18,0,4,4,North Carolina,Charlotte,Bost Street,http://www.gunviolencearchive.org/incident/325207
2015-04-18,1,3,4,New Jersey,Paterson,Rosa Parks Blvd and Godwin Ave,http://www.gunviolencearchive.org/incident/325618
2015-04-16,5,0,5,Arizona,Phoenix,4300 block of East Anderson Drive,http://www.gunviolencearchive.org/incident/324424
2015-04-07,1,3,4,Georgia,Rome,20 Copeland Street,http://www.gunviolencearchive.org/incident/319808
2015-04-05,1,3,4,Pennsylvania,Pittsburgh,Dinwiddie Street,http://www.gunviolencearchive.org/incident/318125
2015-04-05,1,4,5,Kentucky,Louisville,40th and Grand Street,http://www.gunviolencearchive.org/incident/318221
2015-04-05,0,5,5,Indiana,Indianapolis,5000 block of Wildflower Court,http://www.gunviolencearchive.org/incident/318297
2015-04-05,0,4,4,Michigan,Benton Harbor,1000 block of Blossom Lane,http://www.gunviolencearchive.org/incident/318531
2015-04-03,0,4,4,Florida,Daytona Beach,300 block of Henry Butts Drive,http://www.gunviolencearchive.org/incident/317165
2015-04-02,0,5,5,Maryland,Baltimore,1900 block of West Lanvale Street,http://www.gunviolencearchive.org/incident/316795
2015-03-27,0,7,7,Florida,Panama City Beach,5312 Thomas Drive,http://www.gunviolencearchive.org/incident/314044
2015-03-26,0,4,4,Texas,Amarillo,3100 block of Redwood,http://www.gunviolencearchive.org/incident/313304
2015-03-24,4,0,4,Indiana,Indianapolis,3100 block of North Harding Street,http://www.gunviolencearchive.org/incident/312119
2015-03-23,1,4,5,Tennessee,Clarksville,900 block of Carpenter Street,http://www.gunviolencearchive.org/incident/311922
2015-03-22,1,6,7,New Mexico,Albuquerque,10140 Lomas NE,http://www.gunviolencearchive.org/incident/311348
2015-03-21,0,4,4,Florida,Tampa,1802 Seventh Ave,http://www.gunviolencearchive.org/incident/310573
2015-03-20,1,5,6,Texas,Lancaster,1500 block of Reynolds Street,http://www.gunviolencearchive.org/incident/468151
2015-03-18,1,3,4,New Jersey,Newark,200 block of Clinton Place,http://www.gunviolencearchive.org/incident/308839
2015-03-18,1,5,6,Arizona,Mesa,1504 West Main Street,http://www.gunviolencearchive.org/incident/308728
2015-03-17,3,4,7,California,Stockton,748 N Madison St,http://www.gunviolencearchive.org/incident/308687
2015-03-15,0,4,4,California,Compton,2700 block of West Alondra Boulevard,http://www.gunviolencearchive.org/incident/307512
2015-03-14,0,5,5,Georgia,Atlanta,2900 block of Delmar Lane,http://www.gunviolencearchive.org/incident/306897
2015-03-14,0,4,4,California,Coachella,84000 block of Bagdad Avenue,http://www.gunviolencearchive.org/incident/308201
2015-03-13,2,3,5,Mississippi,Brookhaven,1097 South First St.,http://www.gunviolencearchive.org/incident/305907
2015-03-10,0,5,5,Georgia,Columbus,3023 Victory Drive,http://www.gunviolencearchive.org/incident/304238
2015-03-09,1,3,4,Illinois,Chicago,200 block of West 105th,http://www.gunviolencearchive.org/incident/303659
2015-03-08,1,3,4,South Carolina,Seneca,Wells Highway,http://www.gunviolencearchive.org/incident/302786
2015-03-07,0,4,4,Missouri,Saint Louis,3140 Olive St,http://www.gunviolencearchive.org/incident/491864
2015-03-04,3,4,7,California,San Bernardino,190 block of W Club Center Dr,http://www.gunviolencearchive.org/incident/300860
2015-03-01,0,4,4,Florida,Orange County,4900 block of Steyr Street,http://www.gunviolencearchive.org/incident/300660
2015-03-01,1,5,6,Michigan,Detroit,9855 Chalmers St,http://www.gunviolencearchive.org/incident/299344
2015-02-28,1,3,4,Maryland,Baltimore,4300 block of Welbourne Road,http://www.gunviolencearchive.org/incident/299190
2015-02-26,8,1,9,Missouri,Tyrone,18279 Highway H,http://www.gunviolencearchive.org/incident/298122
2015-02-25,3,1,4,Texas,Houston,5022 Mallow St,http://www.gunviolencearchive.org/incident/297681
2015-02-23,0,4,4,Florida,Daytona Beach,Sheridan Road,http://www.gunviolencearchive.org/incident/588835
2015-02-22,4,1,5,Texas,Killeen,1706 Godman St.,http://www.gunviolencearchive.org/incident/296215
2015-02-22,3,2,5,Georgia,Clarkesville,281 Lower Pond Court,http://www.gunviolencearchive.org/incident/296121
2015-02-22,0,4,4,South Carolina,Charleston,4224 Dorchester Road,http://www.gunviolencearchive.org/incident/296327
2015-02-20,0,4,4,California,Sacramento,1417 R Street,http://www.gunviolencearchive.org/incident/295871
2015-02-17,1,3,4,Arkansas,Little Rock,7900 Scott Hamilton,http://www.gunviolencearchive.org/incident/295502
2015-02-15,0,5,5,California,Long Beach,200 block of W. 14th Street,http://www.gunviolencearchive.org/incident/293883
2015-02-09,3,1,4,Florida,New Port Richey,9552 Adler Street,http://www.gunviolencearchive.org/incident/290626
2015-02-08,0,6,6,Tennessee,Friendship,251 Dupree Rd,http://www.gunviolencearchive.org/incident/290510
2015-02-07,5,2,7,Georgia,Douglasville,3640 Willow Tree Circle,http://www.gunviolencearchive.org/incident/289811
2015-02-06,1,4,5,Oklahoma,Tulsa,1219 N. Sheridan Road,http://www.gunviolencearchive.org/incident/290098
2015-02-05,3,3,6,Ohio,Beachwood (Warrensville Heights),Harvard Road,http://www.gunviolencearchive.org/incident/289146
2015-02-01,0,6,6,New York,Syracuse,1217 West Fayette Street,http://www.gunviolencearchive.org/incident/287529
2015-02-01,1,4,5,New York,New York (Manhattan),3345 Broadway,http://www.gunviolencearchive.org/incident/287031
2015-01-31,4,0,4,Georgia,Lagrange,100 block of Woodstream Trail,http://www.gunviolencearchive.org/incident/286810
2015-01-28,1,3,4,Georgia,Dekalb County,1600 block of Panola Road,http://www.gunviolencearchive.org/incident/285549
2015-01-26,1,3,4,California,Stockton,1500 block of E. 9th Street,http://www.gunviolencearchive.org/incident/285123
2015-01-24,4,1,5,New York,Arverne (Queens),231-11 148th Avenue,http://www.gunviolencearchive.org/incident/282956
2015-01-24,3,5,8,Nebraska,Omaha,3402 Parker St,http://www.gunviolencearchive.org/incident/283041
2015-01-23,0,6,6,Massachusetts,Boston,954 Parker Street,http://www.gunviolencearchive.org/incident/283115
2015-01-20,1,3,4,Tennessee,Clarksville,321 Lansinger Lane,http://www.gunviolencearchive.org/incident/281663
2015-01-19,2,5,7,Texas,San Antonio,1000 block of Gibbs St.,http://www.gunviolencearchive.org/incident/281039
2015-01-13,2,2,4,Illinois,Rockford,700 block of Oakley Avenue,http://www.gunviolencearchive.org/incident/278927
2015-01-13,0,5,5,Virginia,Portsmouth,4100 block of Portsmouth Boulevard,http://www.gunviolencearchive.org/incident/298773
2015-01-11,2,5,7,North Carolina,Hope Mills,1900 block of Gumberry Road,http://www.gunviolencearchive.org/incident/276845
2015-01-11,1,3,4,Florida,Lakeland,7665 Chase Road,http://www.gunviolencearchive.org/incident/277480
