date,state,city,address,killed,injured,incident,geolocation,congresional_district,rifle_type,handgun_general,handgun_type,shotgun_type,other_rifle_type
"November 10, 2013",Arizona,Phoenix,5800 South 53rd Glen,1,3,http://www.gunviolencearchive.org/incident/493863,"33.3933, -112.174",Congressional District: 7,NA,NA,NA,NA,NA
"November 9, 2013",Texas,Cypress,7300 block of Enchanted Creek Drive,2,16,http://www.gunviolencearchive.org/incident/493842,"29.884, -95.7187",Congressional District: 10,NA,NA,NA,NA,NA
"November 7, 2013",Michigan,Detroit,Conley and 7 Mile,3,7,http://www.gunviolencearchive.org/incident/493035,"42.4334, -83.0523",Congressional District: 14,NA,NA,NA,NA,NA
"November 5, 2013",Florida,Jacksonville,1100 block of Randolph,4,0,http://www.gunviolencearchive.org/incident/493109,"30.3068, -81.7298",Congressional District: 5,NA,NA,NA,NA,NA
"November 5, 2013",District of Columbia,Washington,3900 block of Minnesota Ave,0,4,http://www.gunviolencearchive.org/incident/492999,"38.8934, -76.9508",Congressional District: 1,NA,NA,NA,NA,NA
"November 3, 2013",California,Los Angeles,1 World Way,1,3,http://www.gunviolencearchive.org/incident/492950,"33.9454, -118.399",Congressional District: 43,NA,NA,NA,NA,NA
"November 3, 2013",California,Perris,2900 block of Perris Boulevard,0,5,http://www.gunviolencearchive.org/incident/492985,"33.8249, -117.227",Congressional District: 41,NA,NA,NA,NA,NA
"November 2, 2013",Kentucky,Radcliff,355 Shelby Avenue,1,3,http://www.gunviolencearchive.org/incident/492933,"37.8133, -85.9224",Congressional District: 2,NA,NA,NA,NA,NA
"October 29, 2013",South Carolina,Bradley (Callison),Callison Highway,5,0,http://www.gunviolencearchive.org/incident/492914,"33.9881, -82.2888",Congressional District: 3,NA,NA,NA,NA,NA
"October 27, 2013",California,Vallejo,200 block of Princeton Avenue,1,6,http://www.gunviolencearchive.org/incident/492570,"38.1517, -122.25",Congressional District: 5,NA,NA,NA,NA,NA
"October 27, 2013",North Carolina,Southern Pines,115 Turner St,1,4,http://www.gunviolencearchive.org/incident/492393,"35.163, -79.4233",Congressional District: 2,NA,NA,NA,NA,NA
"October 27, 2013",California,Roseville,6th Street and Hampton,0,4,http://www.gunviolencearchive.org/incident/492699,"38.7354, -121.226",Congressional District: 4,AR-15,NA,NA,NA,NA
"October 27, 2013",Texas,Beaumont,500 block of Edgemore Drive,0,4,http://www.gunviolencearchive.org/incident/492427,"30.0716, -94.1485",Congressional District: 14,NA,NA,NA,NA,NA
"October 26, 2013",Connecticut,New Haven,85 Saint John St,1,5,http://www.gunviolencearchive.org/incident/492366,"41.3067, -72.9118",Congressional District: 3,NA,NA,NA,NA,NA
"October 26, 2013",Florida,Miami Gardens,NW 187 Street and 30 Avenue,0,4,http://www.gunviolencearchive.org/incident/481419,"25.9443, -80.2519",Congressional District: 24,NA,NA,NA,NA,NA
"October 21, 2013",Pennsylvania,Pittsburgh (Homewood),7200 block of Kelly Street,2,5,http://www.gunviolencearchive.org/incident/481268,"40.4555, -79.897",Congressional District: 14,NA,NA,NA,NA,NA
"October 20, 2013",Florida,Miami,19600 block of Southwest 168th Street,2,2,http://www.gunviolencearchive.org/incident/481263,"25.6087, -80.5096",Congressional District: 26,NA,NA,NA,NA,NA
"October 20, 2013",Florida,Margate,7400 block of Santa Monica Drive,0,4,http://www.gunviolencearchive.org/incident/481254,"26.2503, -80.2237",Congressional District: 21,NA,NA,NA,NA,NA
"October 13, 2013",Pennsylvania,Harrisburg,1524 Walnut St,0,8,http://www.gunviolencearchive.org/incident/481043,"40.2692, -76.8681",Congressional District: 4,NA,NA,NA,NA,NA
"October 12, 2013",Oklahoma,Tulsa,12000 E 31st St,0,5,http://www.gunviolencearchive.org/incident/481029,"36.1189, -95.8429",Congressional District: 1,NA,Handgun,NA,NA,NA
"October 9, 2013",Texas,Paris,400 block of NE 6th Street,4,0,http://www.gunviolencearchive.org/incident/480981,"33.6652, -95.5505",Congressional District: 4,NA,NA,NA,NA,NA
"October 6, 2013",Pennsylvania,Philadelphia,54th St. and Florence Ave,1,5,http://www.gunviolencearchive.org/incident/480961,"39.943, -75.2268",Congressional District: 2,NA,NA,NA,NA,NA
"October 6, 2013",Arizona,Avondale,11120 W Van Buren St,0,4,http://www.gunviolencearchive.org/incident/480897,"33.451, -112.301",Congressional District: 3,NA,NA,NA,NA,NA
"October 5, 2013",New York,Buffalo,102 Zelmer Street,0,4,http://www.gunviolencearchive.org/incident/480882,"42.9114, -78.8075",Congressional District: 26,NA,NA,NA,NA,NA
"October 5, 2013",California,Fresno,3883 E. Calwa #114,1,12,http://www.gunviolencearchive.org/incident/480765,"36.7054, -119.76",Congressional District: 16,NA,NA,NA,NA,NA
"October 2, 2013",Nebraska,Omaha,North 42nd and Browne streets,0,4,http://www.gunviolencearchive.org/incident/480747,"41.305, -95.9758",Congressional District: 2,NA,NA,NA,NA,NA
"September 29, 2013",Illinois,Chicago,6000 block of South Indiana Avenue,0,4,http://www.gunviolencearchive.org/incident/480730,"41.7854, -87.6209",Congressional District: 1,NA,NA,NA,NA,NA
"September 27, 2013",Ohio,Zanesville,753 Putnam Ave,0,4,http://www.gunviolencearchive.org/incident/480720,"39.9272, -82.0073",Congressional District: 12,NA,Handgun,NA,NA,NA
"September 25, 2013",North Carolina,Haw River,1003 W. Main St,0,4,http://www.gunviolencearchive.org/incident/480700,"36.0934, -79.3526",Congressional District: 4,NA,NA,NA,NA,NA
"September 24, 2013",West Virginia,Huntington,300 W 7th Ave,0,6,http://www.gunviolencearchive.org/incident/480691,"38.4136, -82.4609",Congressional District: 3,NA,Handgun,NA,NA,NA
"September 22, 2013",Missouri,Saint Louis,3916 North Florissant Road,1,3,http://www.gunviolencearchive.org/incident/480661,"38.662, -90.2062",Congressional District: 1,NA,NA,NA,NA,NA
"September 22, 2013",Kansas,Wichita,100 block of N. Mead,1,6,http://www.gunviolencearchive.org/incident/480646,"37.6861, -97.3288",Congressional District: 4,NA,NA,NA,NA,NA
"September 22, 2013",Michigan,Muskegon,149 Ottawa Ave,2,4,http://www.gunviolencearchive.org/incident/480669,"43.2489, -86.2368",Congressional District: 2,NA,NA,NA,NA,NA
"September 21, 2013",Florida,Palm Beach,2600 block of Forest Hill Boulevard,0,4,http://www.gunviolencearchive.org/incident/480632,"26.6552, -80.062",Congressional District: 20,NA,NA,NA,NA,NA
"September 20, 2013",Texas,Rice,700 block of NW 0149,5,0,http://www.gunviolencearchive.org/incident/480605,"32.2337, -96.4661",Congressional District: 6,NA,NA,22 LR,NA,22 LR
"September 20, 2013",California,Long Beach,6500 block of Rose Avenue,2,2,http://www.gunviolencearchive.org/incident/480582,"33.8728, -118.171",Congressional District: 44,NA,NA,NA,NA,NA
"September 19, 2013",Illinois,Chicago,1809 W 50th St,0,12,http://www.gunviolencearchive.org/incident/480521,"41.803, -87.6699",Congressional District: 3,AK-47,NA,NA,NA,NA
"September 18, 2013",Tennessee,Memphis,1033 Whitaker,1,4,http://www.gunviolencearchive.org/incident/480470,"35.0411, -90.0292",Congressional District: 9,NA,NA,NA,NA,NA
"September 17, 2013",Florida,Kissimmee,Flying Fortress Avenue,0,5,http://www.gunviolencearchive.org/incident/480462,"28.3107, -81.4488",Congressional District: 9,NA,NA,NA,NA,NA
"September 17, 2013",Nevada,Las Vegas,1300 block of Bartlett Avenue,0,4,http://www.gunviolencearchive.org/incident/480453,"36.2003, -115.159",Congressional District: 4,NA,NA,NA,NA,NA
"September 17, 2013",Michigan,Lansing,1500 block of Ottawa Street,0,4,http://www.gunviolencearchive.org/incident/480415,"42.7349, -84.573",Congressional District: 8,NA,NA,NA,NA,NA
"September 17, 2013",California,Stockton,700 block of North Airport Way,2,3,http://www.gunviolencearchive.org/incident/480394,"37.9625, -121.276",Congressional District: 9,NA,NA,NA,NA,NA
"September 16, 2013",District of Columbia,Washington Navy Yard,1336 Isaac Hull Ave,11,3,http://www.gunviolencearchive.org/incident/480366,"38.873, -76.9977",Congressional District: 1,NA,NA,9mm,NA,NA
"September 15, 2013",Colorado,Colorado Springs,1609 South Nevada,0,5,http://www.gunviolencearchive.org/incident/480104,"38.8111, -104.822",Congressional District: 5,NA,NA,NA,NA,NA
"September 15, 2013",Washington,Yakima,2209 W Nob Hill Blvd,0,6,http://www.gunviolencearchive.org/incident/480071,"46.5854, -120.538",Congressional District: 4,NA,NA,NA,NA,NA
"September 15, 2013",Georgia,Snellville,4630 Anderson Livsey Lane,3,1,http://www.gunviolencearchive.org/incident/480058,"33.7709, -84.05",Congressional District: 4,NA,NA,NA,NA,NA
"September 14, 2013",North Carolina,Marion,80 Finley Road,0,4,http://www.gunviolencearchive.org/incident/479821,"35.6864, -82.0201",Congressional District: 11,NA,NA,40 SW,NA,NA
"September 12, 2013",District of Columbia,Washington,First Street and Pierce Street NW,1,3,http://www.gunviolencearchive.org/incident/479757,"38.9047, -77.0122",Congressional District: 1,NA,NA,NA,NA,NA
"September 12, 2013",Tennessee,Crab Orchard,N/A,4,0,http://www.gunviolencearchive.org/incident/479747,"35.9576, -84.8407",Congressional District: 6,NA,NA,NA,NA,NA
"September 11, 2013",New York,New York,204 Varick St,0,4,http://www.gunviolencearchive.org/incident/479774,"40.7283, -74.0048",Congressional District: 10,NA,NA,NA,NA,NA
"September 10, 2013",Connecticut,Bridgeport,Reservoir Ave and Grandview Ave,1,4,http://www.gunviolencearchive.org/incident/479734,"41.2205, -73.1929",Congressional District: 4,NA,NA,NA,NA,NA
"September 7, 2013",Indiana,Gary,9300 block of Sunrise Boulevard,2,4,http://www.gunviolencearchive.org/incident/479709,"41.5971, -87.2256",Congressional District: 1,NA,NA,NA,NA,NA
"September 7, 2013",Missouri,Saint Louis,5000 block of Durant Ave,1,3,http://www.gunviolencearchive.org/incident/479727,"38.688, -90.2456",Congressional District: 1,NA,NA,NA,NA,NA
"September 5, 2013",North Carolina,Charlotte,2500 block of Pinckney Avenue,0,4,http://www.gunviolencearchive.org/incident/479682,"35.2406, -80.8095",Congressional District: 12,NA,NA,NA,NA,NA
"August 25, 2013",California,Oakland,1300 block of 104th Avenue,0,4,http://www.gunviolencearchive.org/incident/479646,"37.7389, -122.169",Congressional District: 13,NA,NA,NA,NA,NA
"August 25, 2013",Florida,Lake Butler,1050 Southeast 6th Street,4,1,http://www.gunviolencearchive.org/incident/492276,"30.0194, -82.3278",Congressional District: 3,NA,NA,22 LR,410 gauge,22 LR
"August 25, 2013",Minnesota,Minneapolis,2600 block of Cedar and 2600 block of 18th Avenue South,2,2,http://www.gunviolencearchive.org/incident/492270,"44.9553, -93.2489",Congressional District: 5,NA,NA,9mm,NA,NA
"August 25, 2013",South Carolina,Latta,214 Willis St,1,3,http://www.gunviolencearchive.org/incident/492260,"34.3305, -79.4333",Congressional District: 7,NA,NA,NA,NA,NA
"August 20, 2013",Maryland,Baltimore,1200 block of S. Carey St,2,2,http://www.gunviolencearchive.org/incident/491992,"39.2806, -76.6354",Congressional District: 3,NA,NA,9mm,NA,NA
"August 19, 2013",Illinois,Chicago,1011 W. Wilson,1,4,http://www.gunviolencearchive.org/incident/491965,"41.9653, -87.6557",Congressional District: 9,AK-47,NA,NA,NA,NA
"August 18, 2013",New Jersey,Port Norris,1600 block of North Avenue,0,4,http://www.gunviolencearchive.org/incident/491948,"39.2649, -75.024",Congressional District: 2,NA,NA,NA,NA,NA
"August 18, 2013",Ohio,Toledo,2272 Scottwood Ave,0,4,http://www.gunviolencearchive.org/incident/491937,"41.6651, -83.5591",Congressional District: 9,NA,NA,NA,NA,NA
"August 18, 2013",South Carolina,Chesterfield,3217 Center Point Rd,1,4,http://www.gunviolencearchive.org/incident/491898,"34.7104, -80.1421",Congressional District: 7,NA,NA,NA,NA,NA
"August 18, 2013",Illinois,Chicago,100 block of South Springfield,1,3,http://www.gunviolencearchive.org/incident/491840,"41.8798, -87.7232",Congressional District: 7,NA,NA,NA,NA,NA
"August 17, 2013",California,San Francisco,1738 Telegraph Avenue,0,4,http://www.gunviolencearchive.org/incident/491819,"37.7767, -122.419",Congressional District: 12,NA,NA,NA,NA,NA
"August 14, 2013",Oklahoma,Oklahoma City,4601 SE 79,4,0,http://www.gunviolencearchive.org/incident/492001,"35.3867, -97.4356",Congressional District: 5,NA,NA,380 Auto,NA,NA
"August 13, 2013",Pennsylvania,Philadelphia,1100 block of Divinity Street,0,4,http://www.gunviolencearchive.org/incident/491770,"39.9439, -75.2195",Congressional District: 2,NA,NA,NA,NA,NA
"August 11, 2013",Virginia,Portsmouth,1100 block of Mt. Vernon Ave,1,4,http://www.gunviolencearchive.org/incident/491749,"36.8364, -76.3361",Congressional District: 3,NA,NA,NA,NA,NA
"August 11, 2013",New York,Brooklyn,395 East 48th Street,0,4,http://www.gunviolencearchive.org/incident/491710,"40.6524, -73.9321",Congressional District: 9,NA,NA,NA,NA,NA
"August 10, 2013",Delaware,Wilmington,1200 block of Second Street,0,4,http://www.gunviolencearchive.org/incident/491729,"39.7435, -75.5641",Congressional District: 1,NA,NA,NA,NA,NA
"August 9, 2013",Missouri,Saint Louis,4200 block of Kossuth Ave,2,2,http://www.gunviolencearchive.org/incident/491734,"38.6706, -90.228",Congressional District: 1,NA,NA,NA,NA,NA
"August 7, 2013",Texas,Dallas,7100 block of Long Canyon Trail,4,4,http://www.gunviolencearchive.org/incident/491698,"32.6412, -96.9481",Congressional District: 30,NA,NA,NA,NA,NA
"August 6, 2013",New Jersey,Montclair,Mission Street,0,4,http://www.gunviolencearchive.org/incident/491630,"40.8057, -74.2128",Congressional District: 10,NA,NA,NA,NA,NA
"August 6, 2013",Pennsylvania,Saylorsburg,1000 Ross Municipal Dr,3,4,http://www.gunviolencearchive.org/incident/491609,"40.8959, -75.323",Congressional District: 17,AR-15,NA,44 Mag,NA,NA
"August 4, 2013",Missouri,Kansas City,2400 block of Park Avenue,1,3,http://www.gunviolencearchive.org/incident/491546,"39.083, -94.5557",Congressional District: 5,NA,NA,NA,NA,NA
"August 4, 2013",California,Salinas,624 Williams Road,3,4,http://www.gunviolencearchive.org/incident/491473,"36.6799, -121.606",Congressional District: 20,NA,NA,45 Auto,NA,NA
"August 3, 2013",Michigan,Detroit,Murray Hill St,0,5,http://www.gunviolencearchive.org/incident/491461,"42.423, -83.2082",Congressional District: 13,NA,NA,NA,NA,NA
"August 2, 2013",Indiana,Indianapolis,62nd and College Ave,0,4,http://www.gunviolencearchive.org/incident/491438,"39.8679, -86.1461",Congressional District: 5,NA,NA,NA,NA,NA
"August 2, 2013",New Jersey,Newark,Livingston St. and 18th Avenue,2,3,http://www.gunviolencearchive.org/incident/491416,"40.7291, -74.1915",Congressional District: 10,NA,NA,NA,NA,NA
"July 30, 2013",New Mexico,Hobbs,2000 block of North Bensing Rd,0,4,http://www.gunviolencearchive.org/incident/491292,"32.7222, -103.179",Congressional District: 2,NA,NA,NA,NA,NA
"July 29, 2013",Washington,Granger,300 block of S. Outlook Rd.,0,4,http://www.gunviolencearchive.org/incident/491281,"46.3421, -120.187",Congressional District: 4,NA,NA,NA,NA,NA
"July 26, 2013",Florida,Hialeah,1485 W 46th St,7,0,http://www.gunviolencearchive.org/incident/491265,"25.864, -80.3122",Congressional District: 25,NA,NA,9mm,NA,NA
"July 26, 2013",West Virginia,Clarksburg,743 Locust Avenue,4,0,http://www.gunviolencearchive.org/incident/491253,"39.2832, -80.3488",Congressional District: 1,NA,Handgun,NA,NA,NA
"July 25, 2013",Michigan,Inkster,Oakwood Street,0,4,http://www.gunviolencearchive.org/incident/491243,"42.3031, -83.3301",Congressional District: 13,NA,NA,NA,NA,NA
"July 24, 2013",Kansas,Topeka,221 SE Lawrence St,0,4,http://www.gunviolencearchive.org/incident/491226,"39.0527, -95.6546",Congressional District: 2,NA,NA,NA,NA,NA
"July 21, 2013",New York,Brooklyn,1445 Lincoln Place,0,4,http://www.gunviolencearchive.org/incident/491214,"40.6699, -73.9293",Congressional District: 9,NA,NA,NA,NA,NA
"July 20, 2013",New York,Brooklyn,Grove Street,0,5,http://www.gunviolencearchive.org/incident/491181,"40.6962, -73.9178",Congressional District: 7,NA,NA,9mm,NA,NA
"July 19, 2013",Connecticut,Hartford,3155 Main St,0,4,http://www.gunviolencearchive.org/incident/491082,"41.7957, -72.6635",Congressional District: 1,NA,NA,NA,NA,NA
"July 19, 2013",California,Madera,Yosemite Avenue and Cleveland,0,4,http://www.gunviolencearchive.org/incident/491073,"36.9613, -120.061",Congressional District: 16,NA,NA,NA,NA,NA
"July 17, 2013",California,Oakland,3400 block of Wilson Avenue,1,3,http://www.gunviolencearchive.org/incident/491046,"37.7976, -122.212",Congressional District: 13,NA,NA,NA,NA,NA
"July 14, 2013",Kansas,Wichita,11th Street and Mead,1,4,http://www.gunviolencearchive.org/incident/491001,"37.7044, -97.3289",Congressional District: 4,NA,NA,NA,NA,NA
"July 14, 2013",Michigan,Grand Rapids (Kentwood),Farmview Ct SE,0,5,http://www.gunviolencearchive.org/incident/491037,"42.874, -85.6052",Congressional District: 2,NA,NA,NA,NA,NA
"July 13, 2013",Ohio,Campbell,Seventh Street,0,4,http://www.gunviolencearchive.org/incident/491162,"41.0738, -80.5997",Congressional District: 13,NA,NA,NA,NA,NA
"July 13, 2013",District of Columbia,Washington,2700 block of Stanton Road,0,4,http://www.gunviolencearchive.org/incident/490979,"38.8583, -76.9883",Congressional District: 1,NA,NA,NA,NA,NA
"July 13, 2013",Oklahoma,Oklahoma City,5405 N. Lincoln Blvd,1,3,http://www.gunviolencearchive.org/incident/490963,"35.5263, -97.504",Congressional District: 5,NA,NA,NA,NA,NA
"July 13, 2013",New Jersey,Trenton (Hamilton Township),1100 block of Deutz Ave,1,4,http://www.gunviolencearchive.org/incident/490932,"40.1981, -74.7491",Congressional District: 4,NA,NA,NA,NA,NA
"July 12, 2013",Kentucky,Greensburg,194 C Mays Rd,2,2,http://www.gunviolencearchive.org/incident/490954,"37.1948, -85.5219",Congressional District: 2,NA,NA,22 LR,NA,22 LR
"July 12, 2013",California,San Francisco,3192 16th St,1,3,http://www.gunviolencearchive.org/incident/490943,"37.7649, -122.423",Congressional District: 12,NA,Handgun,NA,NA,NA
"July 11, 2013",North Carolina,Charlotte,6300 block of Reagan Drive,2,2,http://www.gunviolencearchive.org/incident/490922,"35.2837, -80.7742",Congressional District: 12,NA,NA,NA,NA,NA
"July 9, 2013",Illinois,Rockford,600 block of Woodlawn Avenue,2,2,http://www.gunviolencearchive.org/incident/490917,"42.2783, -89.0953",Congressional District: 17,NA,NA,NA,NA,NA
"July 9, 2013",Maryland,Baltimore,600 block of N. Carrollton Ave,0,4,http://www.gunviolencearchive.org/incident/490909,"39.2956, -76.6374",Congressional District: 7,NA,NA,NA,NA,NA
"July 7, 2013",Florida,Pompano Beach,1600 block of Northwest 7th Lane,1,3,http://www.gunviolencearchive.org/incident/490793,"26.2489, -80.1352",Congressional District: 20,NA,NA,NA,NA,NA
"July 7, 2013",California,Stockton,2600 block of Connecticut Avenue,1,4,http://www.gunviolencearchive.org/incident/490893,"37.9218, -121.298",Congressional District: 9,NA,NA,NA,NA,NA
"July 7, 2013",Mississippi,Meridian,2500 block of 5th Street,0,4,http://www.gunviolencearchive.org/incident/490767,"32.3625, -88.7022",Congressional District: 3,NA,handgun,NA,NA,NA
"July 7, 2013",Illinois,Chicago,11300 block of South Forest Avenue,0,5,http://www.gunviolencearchive.org/incident/490772,"41.689, -87.6157",Congressional District: 2,NA,NA,38 Spl,NA,NA
"July 6, 2013",Alabama,Florence,West Mobile Street,0,4,http://www.gunviolencearchive.org/incident/490395,"34.7982, -87.6854",Congressional District: 5,NA,NA,NA,NA,NA
"July 6, 2013",New York,Brooklyn,472 Marcy Avenue,1,3,http://www.gunviolencearchive.org/incident/490750,"40.6987, -73.95",Congressional District: 7,NA,NA,NA,NA,NA
"July 4, 2013",Michigan,Pontiac,441 N Perry St,1,6,http://www.gunviolencearchive.org/incident/490351,"42.6482, -83.2871",Congressional District: 14,NA,NA,NA,NA,NA
"July 4, 2013",Illinois,Chicago,6000 block of South Cottage Grove Avenue,0,4,http://www.gunviolencearchive.org/incident/490335,"41.7858, -87.6061",Congressional District: 1,NA,NA,NA,NA,NA
"July 1, 2013",Texas,Fort Worth,2900 block of Pate Drive,4,0,http://www.gunviolencearchive.org/incident/490245,"32.7157, -97.2597",Congressional District: 33,NA,NA,NA,NA,NA
"June 30, 2013",New York,Brooklyn,616 E. 52nd Street,0,9,http://www.gunviolencearchive.org/incident/490226,"40.6452, -73.928",Congressional District: 9,NA,NA,NA,NA,NA
"June 30, 2013",Colorado,Aurora,2300 block of Paris St,0,4,http://www.gunviolencearchive.org/incident/490166,"39.7512, -104.848",Congressional District: 6,NA,NA,NA,NA,NA
"June 29, 2013",South Carolina,North Charleston,4400 Dorchester Road; Suite 115,3,1,http://www.gunviolencearchive.org/incident/490150,"32.8549, -80.0122",Congressional District: 6,NA,NA,NA,NA,NA
"June 28, 2013",Illinois,Chicago,4800 block of North Sheridan Road,0,6,http://www.gunviolencearchive.org/incident/490115,"41.9691, -87.6548",Congressional District: 9,NA,NA,NA,NA,NA
"June 27, 2013",California,Three Rivers,39553-39833 Sierra Dr,2,2,http://www.gunviolencearchive.org/incident/490048,"36.4144, -118.925",Congressional District: 23,NA,NA,NA,NA,NA
"June 25, 2013",Illinois,Chicago,73rd Street and King Drive,1,4,http://www.gunviolencearchive.org/incident/489987,"41.7621, -87.6152",Congressional District: 1,NA,NA,NA,NA,NA
"June 24, 2013",Missouri,Kansas City,1711 Kansas Avenue,1,3,http://www.gunviolencearchive.org/incident/489934,"39.0914, -94.5484",Congressional District: 5,NA,NA,NA,NA,NA
"June 23, 2013",Virginia,Virginia Beach,4600 block of Columbus Street,1,4,http://www.gunviolencearchive.org/incident/489129,"36.841, -76.1371",Congressional District: 2,NA,NA,NA,NA,NA
"June 23, 2013",Louisiana,New Orleans,5700 block of Wickfield Drive,0,4,http://www.gunviolencearchive.org/incident/489121,"30.0165, -90.0689",Congressional District: 2,NA,NA,40 SW,NA,NA
"June 23, 2013",Missouri,Kansas City,1917 Prospect Ave,1,8,http://www.gunviolencearchive.org/incident/489105,"39.0891, -94.5518",Congressional District: 5,NA,NA,NA,NA,NA
"June 23, 2013",California,Sacramento,Sea Drift Way,1,3,http://www.gunviolencearchive.org/incident/489096,"38.4655, -121.459",Congressional District: 6,NA,NA,NA,NA,NA
"June 23, 2013",Tennessee,Chattanooga,1501 Dodds Ave,1,4,http://www.gunviolencearchive.org/incident/489061,"35.0221, -85.2697",Congressional District: 3,NA,NA,NA,NA,NA
